0	99	9
1	1	128
2	1	64
3	1	32
4	1	16
5	1	8
6	1	4
7	1	2
8	1	1
9	2	128
10	2	64
11	2	32
12	2	16
13	2	8
14	2	4
15	2	2
16	2	1
17	3	128
18	3	64
19	3	32
20	3	16
21	3	8
22	3	4
23	3	2
24	3	1
25	4	128
26	4	64
27	4	32
28	4	16
29	4	8
30	4	4
31	4	2
32	4	1
33	5	128
34	5	64
35	5	32
36	5	16
37	5	8
38	5	4
39	5	2
40	5	1
41	6	128
42	6	64
43	6	32
44	6	16
45	6	8
46	6	4
47	6	2
48	6	1
49	7	128
50	7	64
51	7	32
52	7	16
53	7	8
54	7	4
55	7	2
56	7	1
57	8	128
58	8	64
59	8	32
60	8	16
61	8	8
62	8	4
63	8	2
64	8	1
65	9	128
66	9	64
67	9	32
68	9	16
69	9	8
70	9	4
71	9	2
72	9	1
73	10	128
74	10	64
75	10	32
76	10	16
77	10	8
78	10	4
79	10	2
80	10	1
81	11	128
82	11	64
83	11	32
84	11	16
85	11	8
86	11	4
87	11	2
88	11	1
89	12	1
90	12	2
91	12	4
92	12	8
93	12	16
94	12	32
95	12	64
96	12	128
97	13	1
98	13	2
99	13	4
100	13	8
101	13	16
102	13	32
103	13	64
104	13	128
105	14	1
106	14	2
107	14	4
108	14	8
109	14	16
110	14	32
111	14	64
112	14	128
113	15	1
114	15	2
115	15	4
116	15	8
117	15	16
118	15	32
119	15	64
120	15	128
121	16	1
122	16	2
123	16	4
124	16	8
125	16	16
126	16	32
127	16	64
128	16	128
129	17	1
130	17	2
131	17	4
132	17	8
133	17	16
134	17	32
135	17	64
136	17	128
137	18	1
138	18	2
139	18	4
140	18	8
141	18	16
142	18	32
143	18	64
144	18	128
145	19	1
146	19	2
147	19	4
148	19	8
149	19	16
150	19	32
151	19	64
152	19	128
153	20	1
154	20	2
155	20	4
156	20	8
157	20	16
158	20	32
159	20	64
160	20	128
161	21	1
162	21	2
163	21	4
164	21	8
165	21	16
