0	0	99	9
1	2	1	64
2	3	1	32
3	4	1	16
4	5	1	8
5	6	1	4
6	7	1	2
7	8	1	1
8	9	2	128
9	10	2	64
10	11	2	32
11	13	2	8
12	14	2	4
13	15	2	2
14	16	2	1
15	17	3	128
16	18	3	64
17	19	3	32
18	20	3	16
19	21	3	8
20	22	3	4
21	24	3	1
22	25	4	128
23	26	4	64
24	27	4	32
25	28	4	16
26	29	4	8
27	30	4	4
28	31	4	2
29	32	4	1
30	33	5	128
31	35	5	32
32	36	5	16
33	37	5	8
34	38	5	4
35	39	5	2
36	40	5	1
37	41	6	128
38	42	6	64
39	43	6	32
40	44	6	16
41	46	6	4
42	47	6	2
43	48	6	1
44	49	7	128
45	50	7	64
46	51	7	32
47	52	7	16
48	53	7	8
49	54	7	4
50	55	7	2
51	57	8	128
52	58	8	64
53	59	8	32
54	60	8	16
55	61	8	8
56	62	8	4
57	63	8	2
58	64	8	1
59	65	9	128
60	66	9	64
61	68	9	16
62	69	9	8
63	70	9	4
64	71	9	2
65	72	9	1
66	73	10	128
67	74	10	64
68	75	10	32
69	76	10	16
70	77	10	8
71	79	10	2
72	80	10	1
73	81	11	128
74	82	11	64
75	83	11	32
76	84	11	16
77	85	11	8
78	86	11	4
79	87	11	2
80	88	11	1
81	90	12	2
82	91	12	4
83	92	12	8
84	93	12	16
85	94	12	32
86	95	12	64
87	96	12	128
88	97	13	1
89	98	13	2
90	99	13	4
91	101	13	16
92	102	13	32
93	103	13	64
94	104	13	128
95	105	14	1
96	106	14	2
97	107	14	4
98	108	14	8
99	109	14	16
100	110	14	32
101	112	14	128
102	113	15	1
103	114	15	2
104	115	15	4
105	116	15	8
106	117	15	16
107	118	15	32
108	119	15	64
109	120	15	128
110	121	16	1
111	123	16	4
112	124	16	8
113	125	16	16
114	126	16	32
115	127	16	64
116	128	16	128
117	129	17	1
118	130	17	2
119	131	17	4
120	132	17	8
121	134	17	32
122	135	17	64
123	136	17	128
124	137	18	1
125	138	18	2
126	139	18	4
127	140	18	8
128	141	18	16
129	142	18	32
130	143	18	64
131	145	19	1
132	146	19	2
133	147	19	4
134	148	19	8
135	149	19	16
136	150	19	32
137	151	19	64
138	152	19	128
139	153	20	1
140	154	20	2
141	156	20	8
142	157	20	16
143	158	20	32
144	159	20	64
145	160	20	128
146	161	21	1
147	162	21	2
148	163	21	4
149	164	21	8
150	165	21	16
